 ID, Name,                               Tc,         Pc,         Zc,      Omega,  Antoine-A,  Antoine-B,  Antoine-C
 62, "Methane",                   190.70000,   46.41000,    0.29000,    0.01100,         na,         na,         na
 63, "Methanol",                  513.20000,   75.54000,    0.22000,    0.55600,    8.08097, 1582.27100,  239.72600
 64, "Methyl Acetate",            506.90000,   46.91000,    0.25400,    0.32600,    7.06524, 1157.63000,  219.72600
 65, "2-Methyl butane",                  na,         na,         na,         na,    6.80464, 1027.11000,  233.94500
 66, "3-Methyl butanol",                 na,         na,         na,         na,    7.38170, 1373.78000,  174.33300
 67, "2-Methyl-1-Butene",                na,         na,         na,         na,    6.86364, 1048.87600,  232.19400
 68, "2-Methyl-2-Butene",                na,         na,         na,         na,    6.92332, 1099.07500,  233.31700
 69, "Methyl Chloride",           416.30000,   66.77000,    0.27600,    0.15300,         na,         na,         na
 70, "Methyl cyclohexane",        572.10000,   34.80000,    0.26996,    0.23600,    6.83900, 1278.57000,  222.16800
 71, "Methyl cyclopentane",       532.70000,   37.90000,    0.27211,    0.23100,    6.86640, 1188.05000,  226.27600
 72, "Methyl Formate",            487.20000,   59.98000,    0.25468,    0.25700,    7.34684, 1216.48000,  240.37000
 73, "Methyl methacrylate",              na,         na,         na,         na,    8.38448, 2191.43000,  297.05800
 74, "2-Methyl pentane",          497.70000,   30.40000,    0.27034,    0.27800,    6.86839, 1151.40100,  228.47700
 75, "3-Methyl pentane",          504.60000,   31.20000,    0.27366,    0.27000,    6.86532, 1161.42900,  228.20500
 76, "4-Methyl-2-Pentanone",             na,         na,         na,         na,    6.67272, 1168.40800,  191.94400
 77, "2-Methyl-1-Propanol",              na,         na,         na,         na,    8.53516, 1950.94000,  237.14700
 78, "Methyl propionate",         530.60000,   40.04000,    0.25594,    0.35000,    6.94244, 1170.23600,  208.75100
 79, "2-Methyl pyridine",         621.00000,   46.00000,    0.26014,    0.29900,    7.03237, 1415.72500,  211.62500
 80, "Neon",                       44.50000,   27.26000,    0.30700,   -0.02900,         na,         na,         na
 81, "Nitrogen",                  126.20000,   33.94000,    0.29100,    0.03900,         na,         na,         na
 82, "Nitromethane",              588.00000,   58.70000,    0.20772,    0.31000,    7.28166, 1446.93700,  227.60000
 83, "Nitric Oxide",              179.20000,   65.86000,    0.25600,    0.58800,         na,         na,         na
 84, "Nitrous Oxide",             309.70000,   72.65000,    0.27200,    0.16500,         na,         na,         na
 85, "Octane",                    569.40000,   24.97000,    0.25600,    0.39800,         na,         na,         na
 86, "Oxygen",                    154.40000,   50.36000,    0.29000,    0.02500,         na,         na,         na
 87, "Pentane",                   469.80000,   33.75000,    0.26900,    0.25100,    6.87632, 1075.78000,  233.20500
 88, "1-Pentanol",                588.10000,   38.97000,    0.25981,    0.57900,    7.39824, 1435.57000,  179.79800
 89, "2-Pentanone",                      na,         na,         na,         na,    7.02193, 1313.84700,  215.00900
 90, "3-Pentanone",                      na,         na,         na,         na,    7.23064, 1477.02100,  237.51700
 91, "1-Pentene",                 464.70000,   40.50000,    0.31000,    0.24500,    6.84268, 1043.20600,  233.34400
 92, "Propane",                   369.90000,   42.57000,    0.27700,    0.15300,         na,         na,         na
 93, "1-Propanol",                537.30000,   50.87000,    0.25100,    0.62300,    8.37895, 1788.02000,  227.43800
 94, "2-Propanol",                508.80000,   53.70000,    0.27800,    0.66500,    8.87829, 2010.33000,  252.63600
 95, "Propionic acid",            604.00000,   45.30000,    0.20025,    0.52000,    7.99064, 1929.30000,  236.43000
 96, "Propionic aldehyde",        504.40000,   52.70000,    0.25635,    0.31300,    6.39172,  830.80200,  188.67000
 97, "Propylene",                 365.10000,   46.00000,    0.27400,    0.14400,         na,         na,         na
 98, "1,2-Propylene oxide",       482.20000,   49.20000,    0.22825,    0.26900,    7.01443, 1086.36900,  228.59400
 99, "Pyridine",                  620.00000,   56.70000,    0.26728,    0.24300,    7.01328, 1356.93000,  212.65500
100, "Sulfur Dioxide",            430.70000,   78.83000,    0.26900,    0.25600,         na,         na,         na
101, "Sulfur Trioxide",           491.40000,   84.91000,    0.26200,    0.48100,         na,         na,         na
102, "Tert-Butanol",              506.20000,   39.72000,    0.25953,    0.61200,    7.36168, 1180.93000,  180.47600
103, "Triethyl amine",            535.60000,   30.32000,    0.26485,    0.32000,    6.89890, 1251.80000,  222.00000
104, "2,2,4-Trimethyl pentane",   543.80000,   25.70000,    0.26601,    0.30300,    6.80304, 1252.59000,  220.11900
105, "Tetrachloro ethylene",             na,         na,         na,         na,    7.62930, 1803.96000,  258.97600
106, "Tetrahydrofuran",           540.10000,   51.90000,    0.25888,    0.21700,    6.99515, 1202.29000,  226.25400
107, "Tribromo methane",                 na,         na,         na,         na,    6.82182, 1376.74800,  200.96600
108, "Toluene",                   594.00000,   42.15000,    0.27300,    0.26300,    6.95087, 1342.31000,  219.18700
109, "p-Xylene",                  616.20000,   35.11000,    0.25904,    0.32000,    6.99053, 1453.43000,  215.31000
110, "Water",                     647.30000,  221.20000,    0.23000,    0.34400,    7.94790, 1657.16000,  227.02000
