       1,         2,         3,         4,         5,         6,         7,         8,         9,        10,        11,        12,        13,        14,        15,        16,        17,        18,        19,        20,        21,        22,        23,        24,        25,        26,        27,        28,        29,        30,        31,        32,        33,        34,        35,        36,        37,        38,        39,        40,        41,        42,        43,        44,        45,        46,        47,        48,        49,        50
  83.360,    26.510,    52.130,    65.690,   237.700,   238.400,  -314.700,  -178.500,   191.100,    -7.838,   461.300,   457.300,     0.000,   -78.360,   251.500,  5422.000,        na,   213.200,   -18.510,   664.600,   301.100,   137.800,  -154.300,    47.670,   134.800,    95.180,        na,   140.900,    -8.538,   170.100,   -20.110,  -149.500,  -202.300,        na,   128.800,        na,   240.200,  -274.000,   254.800,        na,   417.000,  1338.000,        na,        na,        na,        na,        na,        na,        na,        na
 -30.480,     1.163,   -44.850,   296.400,  -242.800,  -481.700,  -330.400,        na,        na,        na,        na,        na,   222.100,     0.000,  -107.200,   -41.110,  -200.700,        na,   358.900,        na,   -82.920,        na,        na,   -99.810,    30.050,        na,        na,        na,   -17.140,        na,        na,        na,        na,        na,        na,        na,        na,        na,  -164.000,        na,        na,  -664.400,   275.900,        na,        na,        na,        na,        na,        na,        na
  65.330,   -28.700,   -22.310,   223.000,  -150.000,  -370.300,  -448.200,        na,   394.600,        na,   136.000,        na,   -56.080,   127.400,     0.000,  -189.200,        na,        na,   147.100,        na,        na,        na,        na,    71.230,   -18.930,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,   570.900,        na,        na,   -38.770,   448.100, -1327.000,        na,        na,        na,        na,        na,        na,        na
 -83.980,   -25.380,  -223.900,   109.900,    28.600,  -406.800,  -598.800,        na,   225.300,        na,  2889.000,        na,  -194.100,    38.890,   865.900,     0.000,        na,        na,        na,        na,        na,   -73.850,  -352.900,  -262.000,  -181.900,        na,        na,        na,        na,        na,        na,        na,        na,        na,   243.100,        na,        na,  -196.300,    22.050,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na
1139.000,  2000.000,   247.500,   762.800,   -17.400,  -118.100,  -341.600,  -253.100,  -450.300,        na,  -294.800,        na,        na,   -15.070,        na,        na,     0.000,    89.700,  -281.600,  -396.000,   287.000,  -111.000,        na,   882.000,   617.500,        na,  -139.300,        na,        na,        na,     0.100,        na,        na,        na,        na,        na,        na,        na,  -334.400,        na,   -89.420,        na,        na,        na,        na,        na,        na,        na,        na,        na
-101.600,   -47.630,    31.870,    49.800,  -132.300,  -378.200,  -332.900,  -341.600,    29.100,        na,        na,   554.400,  -156.100,        na,        na,        na,   117.400,     0.000,  -169.700,  -153.700,        na,  -351.600,  -114.700,  -205.300,        na,        na,  2845.000,        na,        na,        na,        na,        na,   -60.780,        na,        na,        na,   160.700,  -158.800,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,  -136.600
  24.820,   -40.620,   -22.970,  -138.400,   185.400,   162.600,   242.800,        na,  -287.500,        na,  -266.600,    99.370,    38.810,  -157.300,  -108.500,        na,   777.400,   134.300,     0.000,        na,     4.933,  -152.700,   -15.620,   -54.860,    -4.624,    -0.515,        na,   230.900,     0.460,        na,   177.500,        na,   -62.170,  -203.000,        na,    81.570,   -55.770,        na,  -151.500,        na,   120.300,        na,        na,        na,        na,        na,    16.230,        na,        na,        na
 315.300,  1264.000,    62.320,    89.860,  -151.000,   339.800,   -66.170,   -11.000,  -297.800,  -165.500,  -256.300,   193.900,  -338.500,        na,        na,        na,   493.800,  -313.500,        na,     0.000,    13.410,   -44.700,    39.630,   183.400,   -79.080,        na,        na,        na,        na,  -208.900,        na,   228.400,   -95.000,        na,  -463.600,        na,   -11.160,        na,  -228.000,        na,  -337.000,        na,        na,        na,        na,  -322.300,        na,        na,        na,        na
  91.460,    40.250,     4.680,   122.900,   562.200,   529.000,   698.200,        na,   286.300,   -47.510,    35.380,        na,   225.400,   131.200,        na,        na,   429.700,        na,    54.320,   519.100,     0.000,   108.300,   249.600,    62.420,   153.000,    32.730,    86.200,   450.100,    59.020,        na,        na,        na,   344.400,        na,        na,        na,  -168.200,        na,        na,        na,    63.670,        na,        na,        na,        na,        na,        na,        na,        na,        na
  34.010,   -23.500,   121.300,   140.800,   527.600,   669.900,   708.700,        na,    82.860,   190.600,  -133.000,        na,  -197.700,        na,        na,  -141.400,   140.800,   587.300,   258.600,   543.300,   -84.530,     0.000,     0.000,    56.330,   223.100,   108.900,        na,        na,        na,        na,        na,   177.600,   315.900,        na,   215.000,        na,   -91.800,        na,        na,        na,   -96.870,        na,        na,        na,        na,        na,   361.100,        na,        na,        na
  36.700,    51.060,   228.500,    69.900,   742.100,   649.100,   826.800,        na,   552.100,   242.800,   176.500,   235.600,   -20.930,        na,        na,  -293.700,        na,    18.980,    74.040,   504.200,  -157.100,     0.000,     0.000,   -30.100,   192.100,        na,        na,   116.600,        na,   -64.380,        na,    86.400,        na,        na,   363.700,        na,   111.200,        na,        na,        na,   255.800,        na,        na,   -35.680,        na,        na,        na,   565.900,        na,        na
 -78.450,   160.900,    -4.700,   134.700,   856.300,   709.600,  1201.000, 10000.000,   372.000,        na,   129.500,   351.900,   113.900,   261.100,    91.130,   316.900,   898.200,   368.500,   492.000,   631.000,    11.800,    17.970,    51.900,     0.000,   -75.970,   490.900,   534.700,   132.200,        na,   546.700,        na,   247.800,   146.600,        na,   337.700,   369.500,   187.100,   215.200,   498.600,        na,   256.500,        na,   233.100,        na,        na,        na,   423.100,    63.950,        na,   108.500
